Positive,Negative,Game_name,Positive_Rate,Link
39146,3404,DOOM,0.92,https://store.steampowered.com/app/379720/DOOM/
409937,426671,PLAYERUNKNOWNS BATTLEGROUNDS,0.49,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/
4991,2039,BATTLETECH,0.71,https://store.steampowered.com/app/637090/BATTLETECH/
101940,65175,DayZ,0.61,https://store.steampowered.com/app/221100/DayZ/
8495,2986,EVE Online,0.74,https://store.steampowered.com/app/8500/EVE_Online/
8873,772,Devil May Cry 5,0.92,https://store.steampowered.com/app/601150/Devil_May_Cry_5/
21624,2139,Human Fall Flat,0.91,https://store.steampowered.com/app/477160/Human_Fall_Flat/
10307,1820,They Are Billions,0.85,https://store.steampowered.com/app/644930/They_Are_Billions/
397,507,Warhammer Chaosbane,0.44,https://store.steampowered.com/app/774241/Warhammer_Chaosbane/
3818,782,For The King,0.83,https://store.steampowered.com/app/527230/For_The_King/
2979,568,Danganronpa V3 Killing Harmony,0.84,https://store.steampowered.com/app/567640/Danganronpa_V3_Killing_Harmony/
11063,3121,TERA,0.78,https://store.steampowered.com/app/323370/TERA/
570,548,Call of Duty Modern Warfare Remastered,0.51,https://store.steampowered.com/app/393080/Call_of_Duty_Modern_Warfare_Remastered/
4113,1371,Stonehearth,0.75,https://store.steampowered.com/app/253250/Stonehearth/
1786,115,Clone Drone in the Danger Zone,0.94,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/
1497,448,GOD EATER 3,0.77,https://store.steampowered.com/app/899440/GOD_EATER_3/
790,1007,War Robots,0.44,https://store.steampowered.com/app/767560/War_Robots/
2148,294,Halo Wars Definitive Edition,0.88,https://store.steampowered.com/app/459220/Halo_Wars_Definitive_Edition/
3519,671,Call of Duty Black Ops,0.84,https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/
370,12,Phoenix Wright Ace Attorney Trilogy  123,0.97,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/
340,147,Team Sonic Racing,0.7,https://store.steampowered.com/app/785260/Team_Sonic_Racing/
8781,976,Titan Quest Anniversary Edition,0.9,https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/
27593,16206,Grand Theft Auto IV,0.63,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV/
39211,1213,Portal,0.97,https://store.steampowered.com/app/400/Portal/
4980,434,Viscera Cleanup Detail,0.92,https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/
809,285,Neverwinter Nights Enhanced Edition,0.74,https://store.steampowered.com/app/704450/Neverwinter_Nights_Enhanced_Edition/
2187,514,Ni no Kuni II Revenant Kingdom,0.81,https://store.steampowered.com/app/589360/Ni_no_Kuni_II_Revenant_Kingdom/
9276,6185,Tree of Savior English Ver,0.6,https://store.steampowered.com/app/372000/Tree_of_Savior_English_Ver/
19130,1892,Hellblade Senuas Sacrifice,0.91,https://store.steampowered.com/app/414340/Hellblade_Senuas_Sacrifice/
4427,185,Danganronpa 2 Goodbye Despair,0.96,https://store.steampowered.com/app/413420/Danganronpa_2_Goodbye_Despair/
7071,1057,Yakuza 0,0.87,https://store.steampowered.com/app/638970/Yakuza_0/
4254,998,The Escapists 2,0.81,https://store.steampowered.com/app/641990/The_Escapists_2/
